estagio,projeto,area,etapa,decisao,vpl,tfunil
25,p20.1,0,3,Melhorar,260.4013602967743,3.0
25,p16.1,0,3,Congelar,502.01202638292017,3.6666666666666665
25,p15.0,1,3,Abandonar,252.30187600616352,3.5
26,p23.0,0,1,Continuar,384.75851376559257,1.6666666666666667
26,p25.0,0,1,Abandonar,561.9628561043887,1.0
26,p25.1,1,1,Abandonar,456.3702480259341,1.0
26,p21.1,1,3,Melhorar,371.4181268008442,3.0
26,p20.1,0,3,Melhorar,293.2516355227841,3.0
26,p16.1,0,3,Congelar,455.0906373452078,3.6666666666666665
27,p26.0,0,1,Abandonar,321.14953737542555,1.0
27,p26.1,1,1,Abandonar,-26114.680503237574,1.0
27,p23.0,0,2,Melhorar,410.63250210200005,2.0
27,p21.1,1,3,Congelar,472.4456796506372,3.5
27,p20.1,0,3,Abandonar,293.5294622806752,3.5
27,p16.1,0,3,Abandonar,458.7078278236884,3.6666666666666665
28,p27.0,0,1,Abandonar,111.04030829011133,1.0
28,p27.1,1,1,Abandonar,-135.42553034213597,1.0
28,p23.0,0,2,Melhorar,396.7495515978952,2.3333333333333335
28,p21.1,1,3,Abandonar,385.73088287415516,3.5
29,p28.0,0,1,Abandonar,491.2772419619703,1.0
29,p28.1,1,1,Abandonar,271.21572776658576,1.0
29,p23.0,0,2,Continuar,447.63605362454257,2.6666666666666665
30,p29.0,0,1,Abandonar,322.78609352994596,1.0
30,p29.1,1,1,Melhorar,169.45227866620368,1.0
30,p23.0,0,3,Abandonar,518.2655851545859,3.0
31,p29.1,1,1,Melhorar,183.159745105412,1.3333333333333335
31,p30.0,0,1,Continuar,170.13238223650075,1.0
31,p30.1,0,1,Continuar,90.54919892916097,1.0
32,p29.1,1,1,Melhorar,208.51984632515678,1.6666666666666667
32,p30.0,0,1,Continuar,184.94481678037184,1.3333333333333335
32,p30.1,0,1,Continuar,108.31479444835345,1.0
32,p31.0,0,1,Abandonar,-597.7156793199482,1.0
32,p31.1,0,1,Abandonar,-165.06262096377685,1.0
33,p30.0,0,1,Continuar,195.28484500120186,1.6666666666666667
33,p30.1,0,1,Continuar,106.7682209404851,1.5
33,p32.0,1,1,Abandonar,508.8237684712359,1.0
33,p32.1,0,1,Continuar,313.25232951282254,1.0
33,p29.1,1,2,Melhorar,201.18538866655808,2.0
34,p33.0,1,1,Abandonar,49.94983427957865,1.0
34,p33.1,0,1,Abandonar,209.72499347161565,1.0
34,p30.0,0,2,Continuar,236.28276497375933,2.0
34,p30.1,0,2,Continuar,125.93833276600458,2.0
34,p32.1,0,2,Melhorar,306.8698222587091,2.0
34,p29.1,1,2,Melhorar,189.37443530951333,2.5
35,p34.0,1,1,Abandonar,478.2879578856416,1.0
35,p34.1,1,1,Abandonar,143.56385934633323,1.0
35,p30.0,0,2,Continuar,246.15514674653622,2.5
35,p32.1,0,2,Melhorar,316.71957879745037,2.3333333333333335
35,p30.1,0,3,Abandonar,120.33569654235015,3.0
35,p29.1,1,3,Abandonar,173.19170369721462,3.0
36,p35.0,1,1,Abandonar,-2665.441335405008,1.0
36,p35.1,0,1,Melhorar,316.96363534203834,1.0
