i,j,custo,Theta_fb0,Theta_fb1,Theta_fb2,Theta_fb3,Theta_fb4,Theta_fb5,silo_0,silo_1,silo_2,silo_3,silo_4,silo_5,silo_6,silo_7,silo_8,silo_9,silo_10,silo_11,silo_12,silo_13,silo_14,silo_15,pos
0,58,147.96249999999998,147.96249999999998,2125.15,232.11874999999998,180.5,307.25,2961.8624999999997,100,34.5,50.0,0,34.5,47.0,34.5,0,34.5,21.75,5.75,0,0,18.5,0,0,1
0,59,149.8625,149.8625,2157.6875,232.9875,180.5,304.0,3000.8125,100,33.5,49.0,0,33.5,46.0,33.5,0,33.5,20.75,4.75,0,0,17.5,0,0,1
0,60,152.0,152.0,2190.9375,234.09375,180.5,300.75,3043.7999999999997,100,32.5,48.0,0,32.5,45.0,32.5,0,32.5,19.75,3.75,0,0,16.5,0,0,1
0,61,154.85000000000002,154.85000000000002,2224.1875,235.91250000000002,180.5,297.5,3089.6375,100,31.5,47.0,0,31.5,44.0,31.5,0,31.5,18.75,2.75,0,0,15.5,0,0,1
0,62,157.7,157.7,2257.4375,237.73125,180.5,294.25,3138.7999999999997,100,30.5,46.0,0,30.5,43.0,30.5,0,30.5,17.75,1.75,0,0,14.5,0,0,1
0,63,160.55,160.55,2290.6875,239.55,180.5,291.0,3191.7625,100,29.5,45.0,0,29.5,42.0,29.5,0,29.5,16.75,0.75,0,0,13.5,0,0,1
0,64,163.1625,163.1625,2321.7999999999997,241.0765625,180.5,287.5625,3242.35,100,28.5,44.0,0,28.5,41.0,28.5,0,28.5,15.75,0,0,0,12.5,0,0,1
0,65,165.0625,165.0625,2346.0249999999996,241.7265625,180.5,283.5625,3290.7999999999997,100,27.5,43.0,0,27.5,40.0,27.5,0,27.5,14.75,0,0,0,11.5,0,0,1
0,66,166.9625,166.9625,2371.6749999999997,242.3765625,180.5,279.5625,3344.475,100,26.5,42.0,0,26.5,39.0,26.5,0,26.5,13.75,0,0,0,10.5,0,0,1
0,67,168.8625,168.8625,2399.225,243.0265625,180.5,275.5625,3404.0874999999996,100,25.5,41.0,0,25.5,38.0,25.5,0,25.5,12.75,0,0,0,9.5,0,0,1
0,68,170.76250000000002,170.76250000000002,2429.15,243.67656250000002,180.5,271.5625,3469.3999999999996,100,24.5,40.0,0,24.5,37.0,24.5,0,24.5,11.75,0,0,0,8.5,0,0,1
0,69,172.6625,172.6625,2461.9249999999997,244.3265625,180.5,267.5625,3540.8875,100,23.5,39.0,0,23.5,36.0,23.5,0,23.5,10.75,0,0,0,7.5,0,0,1
0,70,174.5625,174.5625,2497.5499999999997,244.9765625,180.5,263.5625,3618.7875,100,22.5,38.0,0,22.5,35.0,22.5,0,22.5,9.75,0,0,0,6.5,0,0,1
0,71,176.4625,176.4625,2536.4999999999995,245.6265625,180.5,259.5625,3696.6875,100,21.5,37.0,0,21.5,34.0,21.5,0,21.5,8.75,0,0,0,5.5,0,0,1
