valorSim - custoSim,v0,custoSim,valorSim,QProj,QProjNovos,QProje,Qproja,QProjDiv,QProjDiva,QProjDive,QProjnDiv,TCongP,TCongReP,NecRecP,NecRecPa,NecRecPe,OrTotal,QRecMax,QProjCong,QProjCongE,QProjCongA,RetMnTotalProj,RetMxTotalProj,RetMnTotalA,RetMxTotalA,DesemMxProj,DesemMnProj,VPLMnTotal,VPLMxTotal,CustoMnTotal,CustoMxTotal,VPLMnTotalA,VPLMxTotalA,VPLMnTotalE,VPLMxTotalE,CustoMnTotalCong,CustoMxTotalCong,
-66.08,43.20,66.08,0.00,9.00,2.00,4.00,3.00,4.00,1.00,2.00,5.00,0.00,4.00,39.96,71.56,179.82,-2.14,8.02,4.00,2.00,1.00,86.03,530.50,258.09,1591.50,208.20,37.03,131.60,671.27,43.01,265.25,43.01,795.75,131.60,671.27,43.30,245.68,
69.07,43.33,67.16,136.24,9.00,3.00,4.00,3.00,4.00,1.00,2.00,5.00,0.00,3.00,30.22,66.09,135.97,13.98,6.22,3.00,1.00,1.00,171.45,879.54,514.36,2638.63,176.30,32.88,131.56,632.08,85.73,439.77,85.73,1319.32,131.56,632.08,32.86,216.81,
326.77,44.75,48.10,374.87,7.00,1.00,3.00,2.00,3.00,1.00,1.00,4.00,1.00,1.00,23.07,41.69,80.74,26.69,6.19,1.00,0.00,0.00,18.62,81.98,55.87,245.95,146.66,26.81,60.51,252.50,9.31,40.99,9.31,122.97,60.51,252.50,11.41,25.31,
-31.01,44.37,31.01,0.00,7.00,3.00,3.00,2.00,4.00,1.00,2.00,3.00,1.00,4.00,33.60,48.17,117.61,14.95,7.86,3.00,1.00,1.00,79.02,276.89,237.07,830.66,176.15,33.09,86.17,348.66,39.51,138.44,39.51,415.33,86.17,348.66,38.45,153.25,
24.27,44.27,55.15,79.43,7.00,2.00,3.00,2.00,4.00,1.00,2.00,3.00,1.00,4.00,33.80,45.35,118.29,15.44,7.79,3.00,1.00,1.00,27.55,106.51,82.64,319.54,174.09,34.39,79.23,324.35,13.77,53.26,13.77,159.77,79.23,324.35,39.18,162.53,
-45.53,43.82,54.66,9.13,8.00,2.00,4.00,2.00,5.00,1.00,2.00,3.00,1.00,5.00,34.04,51.57,136.18,8.57,7.68,4.00,2.00,1.00,84.08,343.34,252.23,1030.02,174.89,35.65,114.52,458.56,42.04,171.67,42.04,515.01,114.52,458.56,58.08,231.89,
101.47,44.11,61.43,162.90,8.00,3.00,4.00,2.00,6.00,2.00,3.00,2.00,0.00,7.00,34.44,66.34,137.75,11.62,7.30,6.00,3.00,2.00,123.00,390.63,369.01,1171.90,195.83,40.30,124.66,492.86,61.50,195.32,61.50,585.95,124.66,492.86,107.90,427.07,
82.31,44.30,46.35,128.67,8.00,1.00,4.00,2.00,6.00,2.00,3.00,2.00,0.00,6.00,30.62,49.62,122.49,15.17,6.85,5.00,2.00,1.00,45.52,123.51,136.56,370.53,204.31,38.14,111.32,489.04,22.76,61.76,22.76,185.27,111.32,489.04,83.48,339.23,
38.49,44.27,36.70,75.20,7.00,4.00,3.00,2.00,4.00,1.00,2.00,3.00,0.00,5.00,30.30,38.66,106.04,19.73,7.18,4.00,2.00,1.00,192.95,853.80,578.86,2561.39,248.32,41.73,122.00,585.52,96.48,426.90,96.48,1280.69,122.00,585.52,87.59,400.99,
226.92,45.19,50.27,277.19,6.00,1.00,3.00,2.00,2.00,0.00,1.00,4.00,0.00,3.00,29.35,35.49,88.04,19.15,8.47,2.00,1.00,0.00,24.14,87.40,72.42,262.21,274.54,39.68,63.92,368.37,12.07,43.70,12.07,131.11,63.92,368.37,14.67,69.63,
-13.33,44.89,37.97,24.64,7.00,0.00,3.00,2.00,3.00,1.00,1.00,4.00,0.00,3.00,33.39,43.64,116.88,15.87,7.73,2.00,1.00,0.00,0.00,0.00,0.00,0.00,289.37,42.00,83.83,507.88,0.00,0.00,0.00,0.00,83.83,507.88,15.87,100.63,
-30.25,44.52,30.25,0.00,7.00,2.00,3.00,2.00,4.00,1.00,2.00,3.00,0.00,5.00,35.15,43.05,123.03,11.17,8.40,4.00,2.00,1.00,66.18,448.76,198.53,1346.27,278.97,35.88,104.19,686.07,33.09,224.38,33.09,673.14,104.19,686.07,38.82,220.25,
